timestamp,roll,pitch,yaw
1519294750154832,-0.579481,-0.0652861,2.40647
1519294750171877,-0.579488,-0.0653201,2.40639
1519294750193936,-0.579442,-0.065429,2.40642
1519294750214992,-0.579442,-0.065429,2.40642
1519294750230037,-0.57957,-0.0654722,2.40646
1519294750255097,-0.57957,-0.0654722,2.40646
1519294750300218,-0.579442,-0.065429,2.40642
1519294750308240,-0.579442,-0.065429,2.40642
1519294750315258,-0.579442,-0.065429,2.40642
1519294750336315,-0.579929,-0.0652068,2.40642
1519294750355365,-0.579922,-0.0651728,2.40651
1519294750374415,-0.579922,-0.0651728,2.40651
1519294750396474,-0.579922,-0.0651728,2.40651
1519294750425580,-0.579801,-0.0651636,2.40639
1519294750438586,-0.579801,-0.0651636,2.40639
1519294750455678,-0.579883,-0.0653157,2.40645
1519294750469719,-0.579755,-0.0652725,2.40641
1519294750492731,-0.579929,-0.0652068,2.40642
1519294750515792,-0.579373,-0.0652,2.40663
1519294750529828,-0.579199,-0.0652658,2.40661
1519294750552891,-0.579199,-0.0652658,2.40661
1519294750575952,-0.579686,-0.0650434,2.40662
1519294750590030,-0.580255,-0.0649732,2.40669
1519294750613051,-0.580255,-0.0649732,2.40669
1519294750636139,-0.580209,-0.0650821,2.40672
1519294750650190,-0.580081,-0.065039,2.40668
1519294750672208,-0.580081,-0.065039,2.40668
1519294750695269,-0.580088,-0.065073,2.4066
1519294750710310,-0.580088,-0.065073,2.4066
1519294750732368,-0.580117,-0.065064,2.40671
1519294750763452,-0.580088,-0.065073,2.4066
1519294750770471,-0.580117,-0.065064,2.40671
1519294750792577,-0.580088,-0.065073,2.4066
1519294750815589,-0.580088,-0.065073,2.4066
1519294750831632,-0.580117,-0.065064,2.40671
1519294750852736,-0.580071,-0.0651729,2.40674
1519294750875750,-0.579942,-0.0651298,2.4067
1519294750891793,-0.580071,-0.0651729,2.40674
1519294750912867,-0.580071,-0.0651729,2.40674
1519294750935909,-0.580071,-0.0651729,2.40674
1519294750951953,-0.579942,-0.0651298,2.4067
1519294750973046,-0.579942,-0.0651298,2.4067
1519294750996079,-0.579942,-0.0651298,2.4067
1519294751011109,-0.579942,-0.0651298,2.4067
1519294751032174,-0.580359,-0.0650823,2.40695
1519294751056277,-0.580359,-0.0650823,2.40695
1519294751071449,-0.580359,-0.0650823,2.40695
1519294751092618,-0.580359,-0.0650823,2.40695
1519294751115935,-0.580056,-0.0651049,2.4069
1519294751131722,-0.580056,-0.0651049,2.4069
1519294751152791,-0.580056,-0.0651049,2.4069
1519294751175870,-0.580056,-0.0651049,2.4069
1519294751191886,-0.579927,-0.0650618,2.40686
1519294751212192,-0.579927,-0.0650618,2.40686
1519294751236529,-0.579927,-0.0650618,2.40686
1519294751252331,-0.579927,-0.0650618,2.40686
1519294751273354,-0.579956,-0.0650528,2.40698
1519294751295458,-0.579956,-0.0650528,2.40698
1519294751311489,-0.579956,-0.0650528,2.40698
1519294751332542,-0.579927,-0.0650618,2.40686
1519294751356846,-0.579927,-0.0650618,2.40686
1519294751371646,-0.579927,-0.0650618,2.40686
1519294751392781,-0.579927,-0.0650618,2.40686
1519294751415764,-0.579956,-0.0650528,2.40698
1519294751431806,-0.579927,-0.0650618,2.40686
1519294751461225,-0.579927,-0.0650618,2.40686
1519294751475273,-0.579927,-0.0650618,2.40686
1519294751491279,-0.579956,-0.0650528,2.40698
1519294751512335,-0.579956,-0.0650528,2.40698
1519294751535395,-0.579956,-0.0650528,2.40698
1519294751557453,-0.579956,-0.0650528,2.40698
1519294751572493,-0.579927,-0.0650618,2.40686
1519294751595555,-0.579956,-0.0650528,2.40698
1519294751611637,-0.579956,-0.0650528,2.40698
1519294751632853,-0.579827,-0.0650096,2.40694
1519294751655133,-0.579827,-0.0650096,2.40694
1519294751677812,-0.579827,-0.0650096,2.40694
1519294751692891,-0.579827,-0.0650096,2.40694
1519294751715954,-0.579827,-0.0650096,2.40694
1519294751739003,-0.579827,-0.0650096,2.40694
1519294751754016,-0.579827,-0.0650096,2.40694
1519294751775121,-0.579782,-0.0651186,2.40696
1519294751791115,-0.579782,-0.0651186,2.40696
1519294751814176,-0.579827,-0.0650096,2.40694
1519294751835235,-0.579827,-0.0650096,2.40694
1519294751852395,-0.579212,-0.0651889,2.40689
1519294751874336,-0.579212,-0.0651889,2.40689
1519294751896435,-0.579212,-0.0651889,2.40689
1519294751911434,-0.579212,-0.0651889,2.40689
1519294751933879,-0.579084,-0.0651457,2.40685
1519294751954918,-0.579515,-0.0654023,2.407
1519294751971981,-0.579268,-0.066047,2.40726
1519294751996029,-0.578118,-0.0668173,2.40771
1519294752017340,-0.577968,-0.0681779,2.4084
1519294752031482,-0.576157,-0.0729195,2.40879
1519294752060486,-0.57003,-0.0850987,2.4077
1519294752074901,-0.552617,-0.101907,2.41091
1519294752091708,-0.513164,-0.124964,2.41347
1519294752114066,-0.43827,-0.157901,2.41595
1519294752135358,-0.319457,-0.193454,2.41672
1519294752151447,-0.175865,-0.215764,2.41588
1519294752174508,-0.0560717,-0.223884,2.41338
1519294752195566,0.0136808,-0.219006,2.4035
1519294752211606,0.0449311,-0.203716,2.39326
1519294752233763,0.0719495,-0.173094,2.38396
1519294752255848,0.116941,-0.126897,2.37151
1519294752272056,0.164942,-0.0721721,2.35503
1519294752293890,0.215267,-0.0133274,2.33699
1519294752315302,0.266403,0.0504251,2.3176
1519294752331388,0.316208,0.118077,2.29679
1519294752354505,0.359245,0.188659,2.27779
1519294752377560,0.389828,0.257628,2.2602
1519294752391601,0.408946,0.322146,2.24785
1519294752414033,0.420819,0.379956,2.24451
1519294752435461,0.423894,0.431638,2.24818
1519294752451129,0.418522,0.475919,2.25726
1519294752474191,0.404983,0.51273,2.27019
1519294752495939,0.395629,0.543811,2.28665
1519294752517943,0.398797,0.566809,2.3023
1519294752533983,0.418181,0.580389,2.31712
1519294752555070,0.447067,0.583257,2.33291
1519294752572197,0.475491,0.576406,2.34947
1519294752594161,0.494652,0.563832,2.36567
1519294752615440,0.500962,0.548341,2.37951
1519294752631475,0.497272,0.530652,2.38948
1519294752661949,0.487004,0.510348,2.39548
1519294752676264,0.474672,0.484798,2.39854
1519294752690048,0.460709,0.455076,2.39955
1519294752714112,0.440727,0.420792,2.39691
1519294752735492,0.413264,0.384162,2.39081
1519294752758546,0.380015,0.347404,2.37974
1519294752773819,0.341539,0.310151,2.3653
1519294752795641,0.300922,0.269837,2.34872
1519294752810681,0.261907,0.225399,2.33291
1519294752833388,0.220347,0.182868,2.32114
1519294752856435,0.171007,0.147003,2.3124
1519294752872452,0.117334,0.116586,2.30645
1519294752893508,0.0709203,0.0867963,2.30411
1519294752916213,0.0292733,0.0571911,2.30679
1519294752932200,-0.0153219,0.031806,2.31304
1519294752953970,-0.0550417,0.00864282,2.31962
1519294752976619,-0.0827042,-0.0154422,2.32775
1519294752992490,-0.0973338,-0.0405147,2.33938
1519294753013557,-0.106438,-0.0628929,2.3505
1519294753035851,-0.125005,-0.0831,2.36085
1519294753052913,-0.151209,-0.100475,2.36865
1519294753073976,-0.172294,-0.114055,2.37569
1519294753096321,-0.186043,-0.119677,2.37889
1519294753112144,-0.201721,-0.119908,2.37822
1519294753133202,-0.218067,-0.118817,2.37585
1519294753155266,-0.228907,-0.119818,2.37184
1519294753172308,-0.235346,-0.120586,2.36739
1519294753193360,-0.244997,-0.120718,2.36303
1519294753215473,-0.247271,-0.122561,2.35874
