timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1519294750309243,-4,-7,-13,7,5,-1,-2,-2
1519294750309243,-1,1,1,-6,-9,-3,-1,-3
1519294750310245,0,0,-3,-5,-4,-1,0,-1
1519294750310245,2,2,8,11,6,1,0,1
1519294750311248,-3,-2,-6,-28,-10,-5,-2,-5
1519294750311248,-2,-2,-2,11,-2,-2,-4,-3
1519294750314255,2,2,4,-5,4,3,3,5
1519294750314255,-4,-3,-3,23,-5,-4,-2,-4
1519294750320271,2,2,6,48,5,0,-2,0
1519294750320271,1,0,0,-38,-3,1,2,2
1519294750330298,-3,1,2,32,-14,-5,-3,-4
1519294750330298,-2,-2,-7,-20,18,0,-2,-1
1519294750336315,1,3,-5,-35,-8,0,2,0
1519294750336315,0,0,4,10,-2,-1,-1,1
1519294750354362,0,-3,-2,11,0,2,-2,-1
1519294750354362,-1,-1,-2,20,-14,-4,-2,-3
1519294750357370,1,0,8,1,4,2,2,2
1519294750357370,-2,-3,-4,1,11,1,-2,0
1519294750373413,1,0,0,6,3,0,-1,-2
1519294750373413,0,-1,2,-55,-14,-1,-1,-1
1519294750381434,-1,-1,0,2,-4,-1,-1,-1
1519294750381434,0,0,-2,-6,-3,0,0,-3
1519294750387450,0,0,-1,9,13,2,0,0
1519294750387450,1,1,-1,22,3,1,1,1
1519294750435578,2,2,5,-1,6,3,3,3
1519294750435578,-4,-3,-3,72,-1,-4,-3,-2
1519294750435578,-2,-2,-24,-96,-7,-2,-3,-2
1519294750435578,-2,-2,0,13,-10,-1,-3,-2
1519294750437584,1,1,4,6,-6,0,0,2
1519294750437584,-1,-2,-2,-6,4,-2,-2,-1
1519294750440591,0,-1,3,24,2,0,0,-1
1519294750440591,1,2,4,-5,8,3,3,2
1519294750447610,-4,-5,-10,-35,-3,-3,-3,-4
1519294750447610,2,2,2,-19,-1,0,1,2
1519294750456634,1,2,3,1,1,0,0,-1
1519294750456634,0,-1,-1,-2,-4,-2,-2,-1
1519294750463652,0,-1,1,15,1,0,-2,-2
1519294750463652,0,0,0,-7,0,2,0,1
1519294750477691,-1,-2,3,5,-1,-1,-1,-1
1519294750477691,0,0,-3,-7,1,-3,0,-2
1519294750484760,-1,0,2,34,-1,-3,-2,-3
1519294750484760,0,-1,-6,-70,-1,0,-1,-1
1519294750499749,-3,-2,1,15,-17,-2,-2,-2
1519294750499749,-2,0,-2,16,13,1,1,1
1519294750508773,1,0,-1,1,2,3,3,2
1519294750508773,-2,-2,10,12,-1,-3,-2,-1
1519294750516795,-1,0,1,-28,3,0,0,0
1519294750516795,2,-2,-12,-23,-3,-1,-1,-1
1519294750522810,-1,-1,-2,32,-1,-3,-2,-3
1519294750522810,0,2,1,-31,-24,-1,3,2
1519294750537879,-1,-1,4,12,9,-2,-2,0
1519294750537879,0,0,5,26,-2,-1,-2,-1
1519294750544869,-2,-2,-5,-21,7,-1,-1,0
1519294750544869,-1,-2,1,56,10,1,-2,-1
1519294750561915,0,1,-2,-5,-4,2,-1,1
1519294750561915,-2,-3,-3,-12,-5,-2,-4,-2
1519294750567932,-1,1,0,11,-8,-2,-2,0
1519294750567932,0,1,0,-1,-2,-1,-2,-1
1519294750576955,0,-1,5,24,6,-1,0,-1
1519294750576955,-2,-3,-16,-59,-4,0,-1,-1
1519294750583009,0,-2,0,-23,-4,-2,0,0
1519294750583009,0,-2,-2,7,7,-1,0,-2
1519294750598037,0,-1,1,30,-6,-3,-2,0
1519294750598037,-1,1,6,15,0,-1,0,-2
1519294750605030,-2,-1,-5,-67,1,1,-2,-2
1519294750605030,-1,0,-6,-6,3,0,-1,-1
1519294750620069,-1,0,2,9,-3,-2,0,-1
1519294750620069,0,0,4,30,-9,-1,0,1
1519294750627088,0,1,-1,-4,1,-1,0,-2
1519294750627088,-1,-3,-5,37,-3,1,0,0
1519294750636139,0,-1,1,-8,16,2,-1,0
1519294750636139,-1,1,5,21,-7,-2,-1,-1
1519294750642128,0,1,1,-4,-5,0,0,-1
1519294750642128,0,-1,1,-10,-3,-1,-2,-1
1519294750657168,1,1,-1,-5,-7,1,1,1
1519294750657168,-2,-2,-2,-16,11,-2,-1,0
1519294750665228,-1,1,-2,10,1,-1,-1,0
1519294750665228,1,1,1,4,-6,-2,-1,0
1519294750680265,-2,-1,-2,12,-1,-2,-1,0
1519294750680265,0,2,6,9,-1,2,0,-1
1519294750687299,2,0,0,-15,0,0,0,0
1519294750687299,-4,-4,-11,-8,3,-2,-1,-2
1519294750696271,1,1,4,-6,0,-1,1,0
1519294750696271,-1,-2,-3,11,2,0,-1,0
1519294750702344,0,1,3,28,1,0,-1,1
1519294750702344,-1,2,1,-33,-13,-3,-2,-1
1519294750717327,1,1,1,50,13,3,-1,-1
1519294750717327,0,2,-5,-67,1,2,0,0
1519294750725351,0,-2,-2,2,1,0,0,-1
1519294750725351,0,2,2,6,0,1,-1,0
1519294750740390,0,-1,-3,-2,-8,-1,-1,0
1519294750740390,-1,-1,4,21,6,-1,0,-1
1519294750747407,-2,-1,0,1,-1,-2,-1,-1
1519294750747407,1,-2,-12,-18,-8,-1,0,0
1519294750764455,-1,1,1,22,5,-3,0,-1
1519294750764455,-2,-3,-6,-4,2,-2,-1,-2
1519294750765458,0,0,3,-12,-9,-1,0,2
1519294750765458,1,1,6,-12,5,2,1,2
