timestamp,x,y,z
1519294750154832,0.1875,-0.3125,0
1519294750171877,0.125,-0.125,-0.25
1519294750193936,0,-0.1875,-0.125
1519294750214992,-0.625,-0.1875,0.1875
1519294750230037,0.0625,-0.0625,0.125
1519294750255097,0.6875,0.125,0
1519294750300218,0.625,0.3125,0.3125
1519294750308240,-0.1875,-0.1875,0.125
1519294750315258,-0.0625,-0.1875,0.5
1519294750336315,-1.0625,0.3125,0.375
1519294750355365,-0.125,0,0.125
1519294750374415,0.625,-0.3125,0.0625
1519294750396474,0.4375,-0.1875,0.0625
1519294750425580,0.5,-0.125,-0.0625
1519294750438586,-0.9375,-0.25,-0.1875
1519294750455678,0.875,0.125,-0.25
1519294750469719,0.1875,0.0625,0.625
1519294750492731,-0.3125,-0.375,0.25
1519294750515792,1.25,-0.1875,0.375
1519294750529828,-0.4375,-0.25,0.1875
1519294750552891,-0.1875,-0.0625,0.125
1519294750575952,-1.4375,0.1875,0.3125
1519294750590030,-1.0625,0.125,0.125
1519294750613051,0.5,-0.5,-0.3125
1519294750636139,0.625,-0.1875,-0.3125
1519294750650190,-0.125,-0.4375,0.0625
1519294750672208,-0.125,0.25,0.3125
1519294750695269,0.5625,0.125,0.5
1519294750710310,0.125,0.0625,0.4375
1519294750732368,0.25,0.3125,0.25
1519294750763452,0,0,0.25
1519294750770471,-0.375,0,0.125
1519294750792577,-0.1875,-0.0625,-0.125
1519294750815589,0.25,-0.125,0.25
1519294750831632,-0.625,-0.0625,0.0625
1519294750852736,0.1875,0.125,-0.0625
1519294750875750,-0.125,0.1875,0.125
1519294750891793,-0.25,-0.125,0.0625
1519294750912867,-0.375,-0.375,0
1519294750935909,-0.6875,-0.125,0.125
1519294750951953,0.3125,0.1875,0.25
1519294750973046,0.125,0.0625,0.25
1519294750996079,-0.8125,-0.125,0
1519294751011109,0.8125,0.3125,0
1519294751032174,-1.3125,-0.1875,0.6875
1519294751056277,-0.375,0,0.375
1519294751071449,-0.125,0.375,0.375
1519294751092618,0.1875,-0.0625,-0.25
1519294751115935,1.0625,0.125,0
1519294751131722,0.1875,0.125,0.125
1519294751152791,0.375,-0.3125,-0.3125
1519294751175870,-0.5625,-0.375,0.1875
1519294751191886,0.25,-0.1875,-0.1875
1519294751212192,-0.1875,0.125,-0.0625
1519294751236529,0.0625,0.0625,0
1519294751252331,0.4375,0.0625,0.125
1519294751273354,-0.5625,0.0625,0
1519294751295458,-0.75,-0.25,0.1875
1519294751311489,-0.25,0,0.3125
1519294751332542,-0.5625,-0.0625,0.0625
1519294751356846,-0.25,0.0625,-0.1875
1519294751371646,0.375,0.1875,0
1519294751392781,0,-0.1875,-0.3125
1519294751415764,-0.25,-0.5,0
1519294751431806,0.3125,0,0.25
1519294751461225,0.375,0.5625,0.5
1519294751475273,0.6875,-0.1875,-0.0625
1519294751491279,0.4375,-0.0625,-0.4375
1519294751512335,-0.875,-0.1875,-0.125
1519294751535395,-0.4375,0,-0.25
1519294751557453,0.5625,-0.3125,-0.1875
1519294751572493,0.0625,-0.0625,-0.1875
1519294751595555,-0.125,-0.375,0.1875
1519294751611637,-0.25,-0.125,-0.0625
1519294751632853,0.125,0.0625,-0.125
1519294751655133,-0.625,-0.0625,-0.125
1519294751677812,-0.125,-0.1875,-0.4375
1519294751692891,0.1875,-0.1875,0
1519294751715954,0.0625,-0.0625,0.3125
1519294751739003,0.5625,0.125,0.25
1519294751754016,-0.0625,0.4375,0.25
1519294751775121,-0.25,0.0625,-0.3125
1519294751791115,-0.375,0.1875,-0.1875
1519294751814176,-0.6875,-0.25,0
1519294751835235,0.875,-0.625,-0.3125
1519294751852395,1.1875,0,0.0625
1519294751874336,-0.125,-0.1875,0.3125
1519294751896435,-0.0625,-0.0625,-0.1875
1519294751911434,0.5,-0.3125,-0.5
1519294751933879,-0.5,-0.5,-0.5
1519294751954918,-1.25,-0.8125,-0.1875
1519294751971981,1.375,-1.4375,-0.125
1519294751996029,3.3125,-2.625,-0.0625
1519294752017340,0.75,-4.6875,-1.0625
1519294752031482,11.3125,-13.875,-8.125
1519294752060486,25.625,-29.5625,-23.4375
1519294752074901,56.125,-47.1875,-19.5625
1519294752091708,115,-62.0625,-28.25
1519294752114066,220.438,-89.125,-38.8125
1519294752135358,343.438,-95,-36.0625
1519294752151447,409.438,-59.0625,-17.0625
1519294752174508,334.938,-20.625,-7.625
1519294752195566,188.875,15.5625,-26.5
1519294752211606,92.4375,57.1875,-32.25
1519294752233763,97.125,95.1875,-36.5
1519294752255848,130.313,129.688,-48.6875
1519294752272056,140.063,147.625,-69.25
1519294752293890,148.938,154.313,-82.6875
1519294752315302,154.813,163.938,-97.6875
1519294752331388,155,169.75,-112.188
1519294752354505,136.5,175.188,-117.688
1519294752377560,103.375,169,-118.125
1519294752391601,67.875,162.125,-104.5
1519294752414033,38.625,151.688,-76.1875
1519294752435461,3.0625,140.938,-53.0625
1519294752451129,-29.6875,124.75,-31.9375
1519294752474191,-59.125,107.75,-12.9375
1519294752495939,-59.375,84.0625,2.3125
1519294752517943,-22.75,55.875,12.5625
1519294752533983,22,26.9375,20.1875
1519294752555070,40.9375,2.125,28
1519294752572197,35.125,-16.9375,37.9375
1519294752594161,10.3125,-30.25,46.1875
1519294752615440,-20.75,-40.875,47.5
1519294752631475,-39.875,-47.3125,44.0625
